UTC_Seconds_Of_Day,Latitude(deg),Longitude(deg),WGS84_Ellipsoid_Height(m),South-to-North_Slope,West-to-East_Slope,RMS_Fit(cm),Number_Of_ATM_Measurments_Used,Number_Of_ATM_Measurements_Removed,Distance_Of_Block_To_The_Right_Of_Aircraft(m),Track_Identifier
54980.75,69.246123,310.356105,335.9208,0.0368189,0.2023844,524.3,3376,0,114,1
54980.75,69.246212,310.357989,347.5645,0.0484582,0.1446048,405.57,2069,3,39,2
54980.75,69.2463,310.359872,359.1122,0.1239834,0.1139507,318.73,3590,58,-36,3
54980.75,69.246258,310.358967,353.6327,0.0792278,0.148625,322.08,2420,9,0,0
54981,69.245774,310.356236,335.6747,0.0073017,0.2199367,519.58,3307,13,114,1
54981,69.245863,310.35812,346.0482,0.0509414,0.126071,400.61,2099,7,39,2
54981,69.245952,310.360003,355.1937,0.1043769,0.083353,322.7,3633,17,-36,3
54981,69.24591,310.359098,351.3724,0.0911205,0.1049956,269.11,2359,63,0,0
54981.25,69.245426,310.356373,333.337,0.0879051,0.228239,620.19,3294,0,114,1
54981.25,69.245516,310.358265,345.1164,0.0414828,0.0993845,360,2098,9,38,2
54981.25,69.245606,310.360156,353.4288,0.0311749,0.0837688,317.15,3543,56,-37,3
54981.25,69.245562,310.359229,349.5671,0.044477,0.1146601,298.46,2371,33,0,0
54981.5,69.24508,310.356567,333.2833,0.1142426,0.2040197,554.83,3346,4,111,1
54981.5,69.245171,310.358458,346.0754,0.0017817,0.1268158,410.35,2003,44,36,2
54981.5,69.245261,310.360349,352.0604,0.0388581,0.0651035,456.5,3496,16,-39,3
54981.5,69.245214,310.359361,349.5946,-0.010129,0.0802826,362.93,2285,64,0,0
54981.75,69.244735,310.356747,332.4174,0.0518689,0.2072314,588.83,3378,4,109,1
54981.75,69.244824,310.358623,345.5392,0.0034774,0.1136983,438.88,2033,61,35,2
54981.75,69.244914,310.360499,351.3977,0.0200175,0.0291494,467.71,3476,17,-40,3
54981.75,69.244866,310.359493,348.9332,-0.0044933,0.0897821,431.52,2307,56,0,0
54982,69.244387,310.356888,330.6751,-0.0095461,0.2001716,453.48,3259,43,109,1
54982,69.244478,310.358782,345.5077,0.0415608,0.1367303,455.76,1996,55,34,2
54982,69.244569,310.360676,349.9017,0.0855174,0.0156668,437.25,3461,21,-42,3
54982,69.244519,310.359626,348.2871,0.0537079,0.0464498,504.07,2286,27,0,0
54982.25,69.244041,310.357044,328.0533,0.1800805,0.2293325,670.65,3322,17,108,1
54982.25,69.244133,310.358961,342.0161,0.1692118,0.1018597,523.34,2047,38,32,2
54982.25,69.244225,310.360878,347.4565,0.0596031,0.0047115,496.24,3446,22,-45,3
54982.25,69.244171,310.359759,345.1292,0.1343429,0.0690421,576.1,2294,25,0,0
54982.5,69.243693,310.357177,323.0387,0.2244723,0.1725669,569.39,3349,30,108,1
54982.5,69.243786,310.359094,334.6164,0.2324888,0.086925,525.24,2115,23,32,2
54982.5,69.243879,310.361011,343.3097,0.1345492,0.0635623,473.76,3502,40,-44,3
54982.5,69.243824,310.359892,338.3381,0.2159421,0.1027395,538.44,2326,26,0,0
54982.75,69.243347,310.35732,316.2705,0.1979147,0.1492811,586.3,3433,27,108,1
